Indicator,SurveyYear,CountryName,AGEGROUP (DISPLAY),SEX (DISPLAY),CHILDCAUSE (DISPLAY),Value
ndx - number of people dying between ages x and x+n,2005,Gabon,20-24 years,Both sexes,,1143.26564
ndx - number of people dying between ages x and x+n,2005,Gabon,30-34 years,Both sexes,,2473.14559
ndx - number of people dying between ages x and x+n,2005,Gabon,65-69 years,Both sexes,,9770.21986
ndx - number of people dying between ages x and x+n,2005,Gabon,75-79 years,Both sexes,,11168.0872
ndx - number of people dying between ages x and x+n,2010,Gabon,5-9 years,Both sexes,,675.90392
ndx - number of people dying between ages x and x+n,2010,Gabon,15-19  years,Both sexes,,620.76845
ndx - number of people dying between ages x and x+n,2010,Gabon,50-54 years,Both sexes,,5309.34265
ndx - number of people dying between ages x and x+n,2010,Gabon,60-64 years,Both sexes,,8264.42994
ndx - number of people dying between ages x and x+n,2015,Gabon,1-4 years,Both sexes,,1427.18181
ndx - number of people dying between ages x and x+n,2015,Gabon,10-14 years,Both sexes,,683.60561
ndx - number of people dying between ages x and x+n,2015,Gabon,35-39 years,Both sexes,,2132.41906
ndx - number of people dying between ages x and x+n,2015,Gabon,45-49 years,Both sexes,,3743.26763
ndx - number of people dying between ages x and x+n,2015,Gabon,80-84 years,Both sexes,,12237.8945
ndx - number of people dying between ages x and x+n,2019,Gabon,<1 year,Both sexes,,3085.2233
ndx - number of people dying between ages x and x+n,2019,Gabon,30-34 years,Both sexes,,1252.05007
ndx - number of people dying between ages x and x+n,2019,Gabon,40-44 years,Both sexes,,2528.74689
ndx - number of people dying between ages x and x+n,2019,Gabon,65-69 years,Both sexes,,10068.33318
ndx - number of people dying between ages x and x+n,2019,Gabon,75-79 years,Both sexes,,13460.50343
ndx - number of people dying between ages x and x+n,2019,Gabon,85+ years,Both sexes,,15868.0393
nqx - probability of dying between ages x and x+n,2000,Gabon,15-19  years,Male,,0.00944
nqx - probability of dying between ages x and x+n,2000,Gabon,25-29 years,Male,,0.01788
nqx - probability of dying between ages x and x+n,2000,Gabon,60-64 years,Male,,0.18898
nqx - probability of dying between ages x and x+n,2000,Gabon,70-74 years,Male,,0.33374
nqx - probability of dying between ages x and x+n,2005,Gabon,1-4 years,Male,,0.02841
nqx - probability of dying between ages x and x+n,2005,Gabon,10-14 years,Male,,0.01025
nqx - probability of dying between ages x and x+n,2005,Gabon,20-24 years,Male,,0.01275
nqx - probability of dying between ages x and x+n,2005,Gabon,45-49 years,Male,,0.06497
nqx - probability of dying between ages x and x+n,2005,Gabon,55-59 years,Male,,0.12225
nqx - probability of dying between ages x and x+n,2010,Gabon,<1 year,Male,,0.04653
nqx - probability of dying between ages x and x+n,2010,Gabon,5-9 years,Male,,0.00746
nqx - probability of dying between ages x and x+n,2010,Gabon,30-34 years,Male,,0.01911
nqx - probability of dying between ages x and x+n,2010,Gabon,40-44 years,Male,,0.04154
nqx - probability of dying between ages x and x+n,2010,Gabon,50-54 years,Male,,0.08172
nqx - probability of dying between ages x and x+n,2010,Gabon,75-79 years,Male,,0.40282
nqx - probability of dying between ages x and x+n,2010,Gabon,85+ years,Male,,1
nqx - probability of dying between ages x and x+n,2015,Gabon,25-29 years,Male,,0.01253
nqx - probability of dying between ages x and x+n,2015,Gabon,35-39 years,Male,,0.02436
nqx - probability of dying between ages x and x+n,2015,Gabon,70-74 years,Male,,0.28943
nqx - probability of dying between ages x and x+n,2015,Gabon,80-84 years,Male,,0.52256
nqx - probability of dying between ages x and x+n,2019,Gabon,10-14 years,Male,,0.00856
nqx - probability of dying between ages x and x+n,2019,Gabon,20-24 years,Male,,0.0105
nqx - probability of dying between ages x and x+n,2019,Gabon,55-59 years,Male,,0.09912
nqx - probability of dying between ages x and x+n,2019,Gabon,65-69 years,Male,,0.20147
nqx - probability of dying between ages x and x+n,2000,Gabon,5-9 years,Female,,0.00905
nqx - probability of dying between ages x and x+n,2000,Gabon,15-19  years,Female,,0.00632
nqx - probability of dying between ages x and x+n,2000,Gabon,40-44 years,Female,,0.04638
nqx - probability of dying between ages x and x+n,2000,Gabon,50-54 years,Female,,0.07137
nqx - probability of dying between ages x and x+n,2000,Gabon,85+ years,Female,,1
nqx - probability of dying between ages x and x+n,2005,Gabon,1-4 years,Female,,0.02743
nqx - probability of dying between ages x and x+n,2005,Gabon,35-39 years,Female,,0.04114
nqx - probability of dying between ages x and x+n,2005,Gabon,45-49 years,Female,,0.05538
nqx - probability of dying between ages x and x+n,2005,Gabon,70-74 years,Female,,0.21945
nqx - probability of dying between ages x and x+n,2005,Gabon,80-84 years,Female,,0.45046
nqx - probability of dying between ages x and x+n,2010,Gabon,20-24 years,Female,,0.00953
nqx - probability of dying between ages x and x+n,2010,Gabon,30-34 years,Female,,0.02873
nqx - probability of dying between ages x and x+n,2010,Gabon,65-69 years,Female,,0.13175
nqx - probability of dying between ages x and x+n,2010,Gabon,75-79 years,Female,,0.29247
nqx - probability of dying between ages x and x+n,2015,Gabon,5-9 years,Female,,0.00582
nqx - probability of dying between ages x and x+n,2015,Gabon,15-19  years,Female,,0.00419
nqx - probability of dying between ages x and x+n,2015,Gabon,50-54 years,Female,,0.04482
nqx - probability of dying between ages x and x+n,2015,Gabon,60-64 years,Female,,0.08108
nqx - probability of dying between ages x and x+n,2019,Gabon,1-4 years,Female,,0.01125
nqx - probability of dying between ages x and x+n,2019,Gabon,10-14 years,Female,,0.00502
nqx - probability of dying between ages x and x+n,2019,Gabon,35-39 years,Female,,0.01831
nqx - probability of dying between ages x and x+n,2019,Gabon,45-49 years,Female,,0.03264
nqx - probability of dying between ages x and x+n,2019,Gabon,80-84 years,Female,,0.40429
nqx - probability of dying between ages x and x+n,2000,Gabon,<1 year,Both sexes,,0.05491
nqx - probability of dying between ages x and x+n,2000,Gabon,30-34 years,Both sexes,,0.03145
nqx - probability of dying between ages x and x+n,2000,Gabon,40-44 years,Both sexes,,0.05116
nqx - probability of dying between ages x and x+n,2000,Gabon,65-69 years,Both sexes,,0.19985
nqx - probability of dying between ages x and x+n,2000,Gabon,75-79 years,Both sexes,,0.3719
nqx - probability of dying between ages x and x+n,2005,Gabon,15-19  years,Both sexes,,0.00715
nqx - probability of dying between ages x and x+n,2005,Gabon,25-29 years,Both sexes,,0.01991
nqx - probability of dying between ages x and x+n,2005,Gabon,60-64 years,Both sexes,,0.13887
nqx - probability of dying between ages x and x+n,2005,Gabon,70-74 years,Both sexes,,0.26027
nqx - probability of dying between ages x and x+n,2010,Gabon,1-4 years,Both sexes,,0.02141
nqx - probability of dying between ages x and x+n,2010,Gabon,10-14 years,Both sexes,,0.00819
"Age-standardized DALYs (per 100,000)",2000,Gabon,,,,40010.01953
"Age-standardized DALYs (per 100,000)",2000,Gabon,,,,23397.41016
"Age-standardized DALYs (per 100,000)",2000,Gabon,,,,5132.35498
"Age-standardized DALYs (per 100,000)",2012,Gabon,,,,58498.05859
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2003,Gabon,,Male,,336.2551
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2003,Gabon,,Female,,335.7093
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2003,Gabon,,Both sexes,,335.4734
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2004,Gabon,,Male,,335.538
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2008,Gabon,,Female,,314.3086
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2008,Gabon,,Both sexes,,303.9382
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2009,Gabon,,Male,,292.503
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2009,Gabon,,Female,,308.9439
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2009,Gabon,,Both sexes,,299.5768
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2014,Gabon,,Male,,253.1864
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2014,Gabon,,Female,,214.8191
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,1-59 months,,Diarrhoeal diseases,0.1169
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-4 years,,Diarrhoeal diseases,0.07881
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,1-59 months,,Measles,0.23774
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,1-59 months,,Malaria,0.15511
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-27 days,,Prematurity,0.42345
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-27 days,,Sepsis and other infectious conditions of the newborn,0.10782
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.06811
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-27 days,,Congenital anomalies,0.07626
Distribution of causes of death among children aged < 5 years (%),2000,Gabon,0-4 years,,Other noncommunicable diseases (postneonatal only),0.02039
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,1-59 months,,HIV/AIDS,0.07547
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-4 years,,HIV/AIDS,0.05619
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,1-59 months,,Tetanus,0.0005
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-27 days,,Meningitis/encephalitis,0.00946
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,1-59 months,,Meningitis/encephalitis,0.01003
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-27 days,,Acute lower respiratory infections,0.06502
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-27 days,,Birth asphyxia and birth trauma,0.25388
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.02876
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-27 days,,Other Group 1 (postneonatal only),0.03715
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-4 years,,Congenital anomalies,0.03782
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,1-59 months,,Injuries,0.03012
Distribution of causes of death among children aged < 5 years (%),2001,Gabon,0-4 years,,Injuries,0.02391
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,1-59 months,,Diarrhoeal diseases,0.08938
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-27 days,,Measles,0
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,1-59 months,,Measles,0.40681
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-27 days,,Prematurity,0.41015
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.08068
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.06007
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.02544
Distribution of causes of death among children aged < 5 years (%),2002,Gabon,0-4 years,,Other noncommunicable diseases (postneonatal only),0.01821
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,1-59 months,,HIV/AIDS,0.09982
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2015,Gabon,,Male,,245.9332
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2014,Gabon,,Both sexes,,234.6778
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-27 days,,Tetanus,0.01249
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,1-59 months,,Tetanus,0.00056
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-27 days,,Meningitis/encephalitis,0.00991
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-27 days,,Acute lower respiratory infections,0.06551
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-4 years,,Prematurity,0.13241
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.03434
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,1-59 months,,Congenital anomalies,0.03172
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,0-4 years,,Congenital anomalies,0.04681
Distribution of causes of death among children aged < 5 years (%),2003,Gabon,1-59 months,,Injuries,0.03977
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-27 days,,Diarrhoeal diseases,0.00613
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,1-59 months,,Diarrhoeal diseases,0.10199
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-27 days,,Measles,0
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-4 years,,Acute lower respiratory infections,0.12332
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.08933
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,1-59 months,,Other Group 1 (postneonatal only),0.08456
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.06978
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.03132
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-27 days,,HIV/AIDS,0.00242
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,1-59 months,,HIV/AIDS,0.16305
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-27 days,,Tetanus,0.01158
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-27 days,,Meningitis/encephalitis,0.00992
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-4 years,,Malaria,0.05117
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-4 years,,Prematurity,0.17565
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,1-59 months,,Sepsis and other infectious conditions of the newborn,0
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.04685
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,1-59 months,,Congenital anomalies,0.05352
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-27 days,,Injuries,0.00748
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,1-59 months,,Injuries,0.06625
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-27 days,,Diarrhoeal diseases,0.00587
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-27 days,,Measles,0
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-4 years,,Meningitis/encephalitis,0.0172
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-4 years,,Acute lower respiratory infections,0.15691
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,1-59 months,,Birth asphyxia and birth trauma,0.01748
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.1131
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,1-59 months,,Other Group 1 (postneonatal only),0.12313
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-27 days,,Other noncommunicable diseases (postneonatal only),0.00049
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.04585
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-27 days,,HIV/AIDS,0.00247
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-27 days,,Tetanus,0.01005
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-4 years,,Measles,0.05159
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-4 years,,Malaria,0.03943
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,1-59 months,,Prematurity,0.02164
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-4 years,,Prematurity,0.16635
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,1-59 months,,Sepsis and other infectious conditions of the newborn,0
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-27 days,,Congenital anomalies,0.0909
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,1-59 months,,Congenital anomalies,0.05302
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-27 days,,Injuries,0.00767
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-27 days,,Diarrhoeal diseases,0.00548
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-4 years,,Tetanus,0.00422
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-4 years,,Meningitis/encephalitis,0.01748
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,1-59 months,,Acute lower respiratory infections,0.22514
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-4 years,,Acute lower respiratory infections,0.15841
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,1-59 months,,Birth asphyxia and birth trauma,0.01894
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-27 days,,Other Group 1 (postneonatal only),0.04077
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,1-59 months,,Other Group 1 (postneonatal only),0.12973
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-27 days,,Other noncommunicable diseases (postneonatal only),0.00054
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-27 days,,HIV/AIDS,0.00227
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-4 years,,Diarrhoeal diseases,0.07879
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-4 years,,Measles,0.02128
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,1-59 months,,Malaria,0.07636
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-4 years,,Malaria,0.04431
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,1-59 months,,Prematurity,0.02363
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-27 days,,Sepsis and other infectious conditions of the newborn,0.13026
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,1-59 months,,Sepsis and other infectious conditions of the newborn,0
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-27 days,,Congenital anomalies,0.09722
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-27 days,,Injuries,0.00784
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-4 years,,HIV/AIDS,0.09157
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-4 years,,Tetanus,0.00365
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,1-59 months,,Meningitis/encephalitis,0.0184
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-4 years,,Meningitis/encephalitis,0.01497
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,1-59 months,,Acute lower respiratory infections,0.1996
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-27 days,,Birth asphyxia and birth trauma,0.25662
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,1-59 months,,Birth asphyxia and birth trauma,0.01906
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-27 days,,Other Group 1 (postneonatal only),0.04166
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-4 years,,Congenital anomalies,0.07669
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-27 days,,Other noncommunicable diseases (postneonatal only),0.00058
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-4 years,,Injuries,0.0455
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-4 years,,Diarrhoeal diseases,0.07298
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,1-59 months,,Measles,0.08108
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-4 years,,Measles,0.04744
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,1-59 months,,Malaria,0.09069
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-27 days,,Prematurity,0.36748
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,1-59 months,,Prematurity,0.02353
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-27 days,,Sepsis and other infectious conditions of the newborn,0.13331
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.09279
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-27 days,,Congenital anomalies,0.10405
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-4 years,,Other noncommunicable diseases (postneonatal only),0.02929
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-4 years,,HIV/AIDS,0.08454
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,1-59 months,,Tetanus,0.00044
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-4 years,,Tetanus,0.00316
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,1-59 months,,Meningitis/encephalitis,0.01486
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-27 days,,Acute lower respiratory infections,0.0641
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,1-59 months,,Acute lower respiratory infections,0.17892
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-27 days,,Birth asphyxia and birth trauma,0.25455
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.05617
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-27 days,,Other Group 1 (postneonatal only),0.0428
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-4 years,,Congenital anomalies,0.07963
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-4 years,,Injuries,0.04576
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,1-59 months,,Diarrhoeal diseases,0.1199
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-4 years,,Diarrhoeal diseases,0.06983
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,1-59 months,,Measles,0.03194
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,1-59 months,,Malaria,0.11009
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-27 days,,Prematurity,0.35522
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.12176
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-27 days,,Sepsis and other infectious conditions of the newborn,0.13933
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.09696
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-4 years,,Other noncommunicable diseases (postneonatal only),0.03007
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,1-59 months,,HIV/AIDS,0.13966
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-4 years,,HIV/AIDS,0.07882
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,1-59 months,,Tetanus,0.00047
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-27 days,,Meningitis/encephalitis,0.00994
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,1-59 months,,Meningitis/encephalitis,0.01591
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-27 days,,Acute lower respiratory infections,0.06311
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-4 years,,Prematurity,0.16863
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-27 days,,Birth asphyxia and birth trauma,0.25273
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.06298
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-4 years,,Congenital anomalies,0.08843
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,1-59 months,,Injuries,0.0815
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-4 years,,Injuries,0.04921
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,1-59 months,,Diarrhoeal diseases,0.1124
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-27 days,,Measles,0
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,1-59 months,,Measles,0.05035
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-4 years,,Acute lower respiratory infections,0.13649
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-27 days,,Prematurity,0.34612
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.1219
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.09794
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.05348
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-4 years,,Other noncommunicable diseases (postneonatal only),0.03026
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,1-59 months,,HIV/AIDS,0.08811
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-27 days,,Tetanus,0.00493
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,1-59 months,,Tetanus,0.00039
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-27 days,,Meningitis/encephalitis,0.00985
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-4 years,,Malaria,0.05973
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-27 days,,Acute lower respiratory infections,0.06194
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-4 years,,Prematurity,0.15222
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.05963
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,1-59 months,,Congenital anomalies,0.05906
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-4 years,,Congenital anomalies,0.08565
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,1-59 months,,Injuries,0.07181
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-27 days,,Diarrhoeal diseases,0.00422
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,1-59 months,,Diarrhoeal diseases,0.09616
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-27 days,,Measles,0
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-4 years,,Meningitis/encephalitis,0.01237
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-4 years,,Acute lower respiratory infections,0.12938
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.11619
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,1-59 months,,Other Group 1 (postneonatal only),0.12771
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.09331
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.04949
Life expectancy at age 60 (years),2010,Gabon,,Male,,14.42783
Life expectancy at age 60 (years),2010,Gabon,,Female,,18.23144
Life expectancy at age 60 (years),2010,Gabon,,Both sexes,,16.36185
nMx - age-specific death rate between ages x and x+n,2000,Gabon,1-4 years,Male,,0.00818
nMx - age-specific death rate between ages x and x+n,2000,Gabon,5-9 years,Male,,0.00187
nMx - age-specific death rate between ages x and x+n,2000,Gabon,10-14 years,Male,,0.00204
nMx - age-specific death rate between ages x and x+n,2000,Gabon,15-19  years,Male,,0.0019
nMx - age-specific death rate between ages x and x+n,2000,Gabon,85+ years,Male,,0.24238
nMx - age-specific death rate between ages x and x+n,2005,Gabon,<1 year,Male,,0.05701
nMx - age-specific death rate between ages x and x+n,2005,Gabon,1-4 years,Male,,0.00722
nMx - age-specific death rate between ages x and x+n,2005,Gabon,5-9 years,Male,,0.0017
